번호,분야,사업명,신청시작일자,신청종료일자,소관기관,수행기관,등록일자,상세URL
46,기타,2024년 전통시장 및 상점가 활성화 유공 포상 계획 공고,2024-04-01,2024-04-22,중소벤처기업부,소상공인시장진흥공단,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096329
47,내수,2024년 상반기 정보보호제품 혁신대상 공고,2024-03-26,2024-05-09,과학기술정보통신부,한국정보보호산업협회,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096328
48,금융,디자인전문기업 금융지원 희망기업 9차 모집 공고,2024-03-26,2024-04-15,산업통상자원부,한국디자인진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096327
49,내수,[부산] 2024년 봄빛 동행축제 우수 소상공인 제품 현장 라이브커머스 참가기업 모집 공고,2024-03-27,2024-04-09,중소벤처기업부,지방중소벤처기업청,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096317
50,창업,2024년 기획창작스튜디오콘텐츠 제작지원 모집 공고,2024-03-26,2024-04-17,광주광역시,광주정보문화산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096326
51,인력,[인천] 2024년 온라인 채용관 참가기업 모집 공고,2024-03-27,2024-09-30,인천광역시,인천테크노파크,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096316
52,경영,[전북] 2024년 1차 해외 전시회 단체참가 지원사업 일본 동경 라이프스타일 위크 전시회 참여기업 모집 공고,2024-03-26,2024-04-04,전북특별자치도,전북특별자치도경제통상진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096324
53,창업,[강원] 철원군 2024년 빈 점포 활용 청년 창업 지원사업 예비창업자 모집 공고,2024-03-27,2024-04-12,강원특별자치도,강원특별자치도경제진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096315
54,인력,[전북] 2024년 게임기업 맞춤형 인턴십 지원사업 모집 공고,2024-03-25,2024-04-19,전북특별자치도,전북특별자치도콘텐츠융합진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096323
55,내수,[강원] 원주시 2024년 옻ㆍ한지 박람(전시)회 참가 및 개최 지원사업 시행 공고,2024-03-27,2024-12-31,강원특별자치도,기초자치단체,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096322
56,경영,2024년 3차 미래차 전장부품 기능안전 및 신뢰성 기반구축사업 수혜기업 모집 공고(스마트특성화기반구축사업),2024-03-26,2024-10-01,산업통상자원부,충북테크노파크,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096321
57,수출,[제주] 2024년 해외시장조사서비스 및 해외비지니스출장지원사업 참가업체 모집 공고,2024-03-27,2024-10-31,제주특별자치도,KOTRA제주사무소,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096300
58,창업,2024년 기획창작스튜디오 CKL 연계 제작지원 공고(문화콘텐츠 기획창작스튜디오 운영지원),2024-03-25,2024-04-30,광주광역시,광주정보문화산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096314
59,창업,2024년 기획창작스튜디오 레벨업 프로젝트 제작지원 모집 공고,2024-03-26,2024-04-22,광주광역시,광주정보문화산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096313
60,기술,2024년 상반기 2차 IP-R&D 전략지원 사업(유관기관 연계) 시행 계획 공고(지재권 연계 연구개발 전략지원 사업),2024-03-27,2024-04-09,특허청,한국특허전략개발원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096298
61,인력,[울산] 2024년 중장년 취업지원 사업 참여기업 모집 공고,2024-03-27,2024-09-30,울산광역시,울산경제일자리진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096312
62,경영,[제주] 2024년 양식장 친환경에너지보급사업(히트펌프) 대상자 모집 공고,2024-03-27,2024-04-11,제주특별자치도,직접수행,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096297
63,수출,[제주] 2024년 수산물 수출마케팅 지원사업 지방보조금 지원계획 추가공고,2024-03-26,2024-04-11,제주특별자치도,직접수행,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096296
64,경영,2024년 제1차 유연근무 종합 컨설팅 지원 사업장 모집 공고,2024-03-26,2024-04-12,고용노동부,직접수행,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096295
65,내수,2024년 ICT이노베이션스퀘어 AIㆍICT 기업 국내외 전시회 참가 지원 사업 모집 공고,2024-03-26,2024-04-09,과학기술정보통신부,부산정보산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096311
66,수출,2024년 G-FAIR KOREA(제27회 대한민국 우수상품전시회) 참가기업 조기신청 모집 공고,2024-03-27,2024-08-30,경기도,경기도경제과학진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096310
67,경영,[경남] 2024년 1:1 맞춤형 전자입찰 컨설팅 지원사업 참여기업 모집 공고,2024-03-28,2024-04-09,경상남도,중소기업중앙회,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096294
68,기술,2024년 1차 융합바이오소재기업 경쟁력 강화사업 수혜기업 모집 공고,2024-03-21,2024-04-19,산업통상자원부,한국세라믹기술원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096293
69,창업,[경북] 성주군 청년스타트업 지원사업 창업자 모집 공고,2024-03-27,2024-04-12,경상북도,경북산학융합원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096309
70,내수,[경기] 부천시 원미구ㆍ소사구ㆍ오정구 시민참여 간판개선 지원사업 공고,2024-04-01,2024-04-30,경기도,기초자치단체,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096308
71,경영,2024년 통합형 게임 콘텐츠 제작 지원 모집 공고,2024-04-01,2024-04-18,광주광역시,광주정보문화산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096307
72,기술,[경남] 2024년 첨단안전산업 기업육성 지원사업 모집 공고,2024-04-08,2024-04-11,경상남도,경남테크노파크,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096306
73,기술,홀로그램 산업 확산 지원사업 기업지원사업 참여기업 모집 공고,2024-04-08,2024-04-12,전북특별자치도,전북테크노파크,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096305
74,창업,2024년 글로벌 액셀러레이팅 참가기업 모집 공고(여성창업 액셀러레이팅),2024-03-18,2024-04-08,중소벤처기업부,한국여성경제인협회,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096304
75,경영,[서울] 2024년 주얼리 혁신성장 패키지 지원사업 모집 공고,2024-03-26,2024-04-11,서울특별시,서울주얼리지원센터,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096292
76,인력,[경북] 포항시ㆍ경주시 2024년 이차전지ㆍ소재 산업 확장을 위한 기술지원 및 재직자 스킬업 사업 공고(경상북도지역혁신프로젝트),2024-03-18,2024-04-19,경상북도,한국섬유기계융합연구원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096303
77,경영,[경기] 남양주시 2024년 소상공인 경영환경개선사업 모집 공고,2024-04-22,2024-04-26,경기도,한국생산성본부,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096302
78,기술,2024년 과학기술정보통신부 고성능 컴퓨팅 지원 사용자 모집 연장 공고,2024-03-26,2024-04-03,과학기술정보통신부,정보통신산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096301
79,내수,2024년 장애인기업 판로지원사업(인증 및 마케팅) 참여기업 모집 공고,2024-03-26,2024-04-11,중소벤처기업부,장애인기업종합지원센터,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096280
80,기술,2024년 수소ㆍ저탄소에너지ㆍ미래모빌리티ㆍ미래화학신소재 분야(UFEZ 대중소 상생 투자 플랫폼) 기술공모전 모집 공고,2024-03-15,2024-04-26,울산광역시,울산창조경제혁신센터,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096279
81,창업,[부산] 2024년 부산창업카페 전문가 컨설팅 지원 공고,2024-02-26,2024-12-13,부산광역시,부산경제진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096291
82,수출,2024년 국제 식품 박람회 쌀가공식품 한국관 참가기업 모집 공고,2024-03-21,2024-04-17,농림축산식품부,한국쌀가공식품협회,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096277
83,수출,2024년 수출 유망 메타버스 강소기업 육성사업 지원기업 모집 공고,2024-03-27,2024-04-26,과학기술정보통신부,정보통신산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096276
84,수출,2024년 해외 프로젝트 연계 전단형 메타버스 수출지원 과제 모집 공고,2024-03-27,2024-04-29,과학기술정보통신부,정보통신산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096275
85,수출,[경기] 화성시 2024년 해외전시회 단체관 참여기업 모집 공고,2024-03-26,2024-05-20,경기도,화성산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096274
86,내수,[경기] 화성시 2024년 소공인 제품 홍보영상 제작 지원사업 참여기업 모집 공고,2024-03-20,2024-04-23,경기도,화성산업진흥원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096290
87,기술,[충북] 2024년 방사광가속기 활용 연구개발지원사업 신규과제 모집 재공고,2024-03-27,2024-04-25,충청북도,충북과학기술혁신원,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096289
88,수출,2024년 해외진출컨설팅(물류효율화형) 지원업체 연장 모집 공고,2024-03-26,2024-03-31,농림축산식품부,한국농수산식품유통공사,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096288
89,기술,2024년 상반기 K-테스트베드 통합 공모,2024-03-18,2024-04-12,기획재정부,한국수자원공사,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096273
90,수출,2024년 해외진출컨설팅(해외판로개척형) 지원업체 연장 모집 공고,2024-03-26,2024-03-31,농림축산식품부,한국농수산식품유통공사,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096272
91,수출,2024년 글로벌 온라인 유통망 파워셀러 육성사업 2-4단계 모집 공고,2024-03-26,2024-04-09,산업통상자원부,대한무역투자진흥공사,2024-03-28,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096271
92,내수,2024년 상반기 중소벤처기업부 혁신제품 지정제도 시행계획 공고,2024-03-26,2024-04-19,중소벤처기업부,중소기업기술정보진흥원,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096287
93,경영,[경북] 2024년 일본 RISCON TOKYO 통합 한국관 참여기업 모집 공고,2024-04-01,2024-04-12,경상북도,직접수행,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096270
94,경영,2024년 2분기 협업기업 신청 공고(중소기업간 협업지원사업 운영요령),2024-04-01,2024-04-26,중소벤처기업부,중소기업융합중앙회,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096269
95,수출,[경기] 파주시 2024년 글로벌마케팅 지원사업 참여기업 모집 공고,2024-03-25,2024-04-12,경기도,경기도경제과학진흥원,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096286
96,창업,[부산] 해운대구 2024년 지역특화 로컬 크래프터 육성지원사업 예비 창업자 모집 공고,2024-03-25,2024-05-09,부산광역시,부산디자인진흥원,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096285
97,금융,[경기] 군포시 2024년 2차 중소기업 육성자금 지원계획 모집 공고,2024-04-01,2024-04-18,경기도,기초자치단체,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096268
98,경영,[서울] 광진구 2024년 사회적경제기업 컨설팅 지원 참여기업 모집 공고,2024-03-20,2024-06-10,서울특별시,기초자치단체,2024-03-27,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000096284
